Experiment:,Vary_Generation_Count,,,,
,,,,,
Simulation Parameters:,,,,,
Seed:,2397997808,,,,
Population Size:,30,,,,
Generations:,10,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
0,19,0.822355,0.980508,16,'11111111011111110010'
0,20,0.882809,0.995033,17,'11111111110111110110'
0,21,0.862429,0.993818,16,'11111111110101110110'
0,22,0.831649,0.980246,16,'11111111011111010110'
0,23,0.834273,0.980246,16,'11111111011111010110'
0,24,0.820223,0.997476,18,'11111111111011110111'
0,25,0.823386,0.978215,17,'11111111011011111101'
0,26,0.886466,0.994729,16,'11111111110111010110'
0,27,0.877936,0.997476,18,'11111111111011110111'
0,28,0.831634,0.980274,16,'11111111011111011001'
0,29,0.863247,0.993477,14,'11111111110101010010'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
1,0,0.0769737,0.704482,10,'11110111001100000001'
1,1,0.421582,0.895421,10,'11111101001100000001'
1,2,0.558412,0.978973,15,'11111111011101001110'
1,3,0.527521,0.978973,15,'11111111011101001110'
1,4,0.639983,0.997695,15,'11111111111100001110'
1,5,0.599437,0.997618,14,'11111111111100000110'
1,6,0.526025,0.997618,14,'11111111111100000110'
1,7,0.646365,0.998228,15,'11111111111101000110'
1,8,0.666828,0.998304,16,'11111111111101001110'
1,9,0.700354,0.998304,16,'11111111111101001110'
1,10,0.646071,0.998304,16,'11111111111101001110'
1,11,0.619852,0.998304,16,'11111111111101001110'
1,12,0.630735,0.998304,16,'11111111111101001110'
1,13,0.653592,0.978973,15,'11111111011101001110'
1,14,0.67597,0.922417,14,'11111101111100001110'
1,15,0.680011,0.922559,15,'11111101111100011110'
1,16,0.756474,0.988747,16,'11111111101101011110'
1,17,0.744353,0.988747,16,'11111111101101011110'
1,18,0.698444,0.988747,16,'11111111101101011110'
1,19,0.823542,0.988596,15,'11111111101101001110'
1,20,0.699727,0.988596,15,'11111111101101001110'
1,21,0.70429,0.978674,15,'11111111011100101110'
1,22,0.622168,0.922417,14,'11111101111100001110'
1,23,0.576832,0.922399,13,'11111101111100001100'
1,24,0.654793,0.922399,13,'11111101111100001100'
1,25,0.827922,0.922701,15,'11111101111100101110'
1,26,0.747094,0.922612,13,'11111101111100100100'
1,27,0.760114,0.921504,15,'11111101111010100111'
1,28,0.79149,0.919362,15,'11111101110110110101'
1,29,0.81192,0.930608,12,'11111110001010100110'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
2,0,0.0896261,0.924307,16,'11111101111111100011'
2,1,0.495719,0.924476,17,'11111101111111110110'
2,2,0.69641,0.924476,17,'11111101111111110110'
2,3,0.763166,0.924521,18,'11111101111111111011'
2,4,0.703855,0.924192,16,'11111101111111010110'
2,5,0.809784,0.963884,14,'11111111000011110110'
2,6,0.874846,0.924192,16,'11111101111111010110'
2,7,0.825965,0.9996,17,'11111111111111010110'
2,8,0.762616,0.99959,17,'11111111111111010101'
2,9,0.833033,0.999609,18,'11111111111111010111'
2,10,0.785747,0.999752,17,'11111111111111100110'
2,11,0.775816,0.999752,17,'11111111111111100110'
2,12,0.795599,0.999676,18,'11111111111111011110'
2,13,0.807368,0.999676,18,'11111111111111011110'
2,14,0.733874,0.999676,18,'11111111111111011110'
2,15,0.786065,0.999733,16,'11111111111111100100'
2,16,0.837385,0.996857,16,'11111111111010110110'
2,17,0.873619,0.997171,17,'11111111111011010111'
2,18,0.824499,0.9996,17,'11111111111111010110'
2,19,0.866569,0.997247,18,'11111111111011011111'
2,20,0.820339,0.997238,17,'11111111111011011110'
2,21,0.874308,0.997086,16,'11111111111011001110'
2,22,0.818947,0.999295,17,'11111111111110110110'
2,23,0.791588,0.997923,15,'11111111111100100110'
2,24,0.738843,0.933329,14,'11111110001111010110'
2,25,0.809149,0.923695,16,'11111101111110011110'
2,26,0.836882,0.988143,15,'11111111101100011110'
2,27,0.818116,0.96477,13,'11111111000101010110'
2,28,0.82242,0.96158,17,'11111110111111111100'
2,29,0.781442,0.96158,17,'11111110111111111100'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
3,0,0.108322,0.993344,13,'11111111110101000100'
3,1,0.512182,0.994558,14,'11111111110111000100'
3,2,0.691933,0.994558,14,'11111111110111000100'
3,3,0.615422,0.956364,13,'11111110110111000100'
3,4,0.551738,0.956428,15,'11111110110111001011'
3,5,0.74268,0.956428,15,'11111110110111001011'
3,6,0.794911,0.992908,14,'11111111110100010110'
3,7,0.739399,0.99325,15,'11111111110100111010'
3,8,0.818993,0.99325,15,'11111111110100111010'
3,9,0.788475,0.994463,16,'11111111110110111010'
3,10,0.741806,0.992889,13,'11111111110100010100'
3,11,0.782059,0.992899,14,'11111111110100010101'
3,12,0.779099,0.992889,13,'11111111110100010100'
3,13,0.731954,0.991204,13,'11111111110001100010'
3,14,0.75038,0.954606,11,'11111110110100000100'
3,15,0.735614,0.954606,11,'11111110110100000100'
3,16,0.727877,0.945282,10,'11111110100100000100'
3,17,0.711241,0.985448,10,'11111111101000000000'
3,18,0.782854,0.991526,12,'11111111110010000100'
3,19,0.7565,0.991526,12,'11111111110010000100'
3,20,0.768037,0.847997,12,'11111011110100000101'
3,21,0.770386,0.953418,11,'11111110110010000010'
3,22,0.6379,0.953528,13,'11111110110010001110'
3,23,0.700329,0.964013,10,'11111111000100000100'
3,24,0.608224,0.964013,10,'11111111000100000100'
3,25,0.679398,0.839575,9,'11111011100100000000'
3,26,0.768098,0.840618,10,'11111011100110000000'
3,27,0.712756,0.840936,14,'11111011100110100111'
3,28,0.720595,0.84039,12,'11111011100101100100'
3,29,0.668964,0.943108,10,'11111110100000010100'
,,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
4,0,0.0561862,0.606681,11,'11110011100001010101'
4,1,0.310572,0.838126,12,'11111011100001001110'
4,2,0.434683,0.838126,12,'11111011100001001110'
4,3,0.535515,0.95382,14,'11111110110010101110'
4,4,0.660795,0.985815,14,'11111111101000100111'
4,5,0.605167,0.981371,13,'11111111100001001110'
4,6,0.711166,0.996477,15,'11111111111010001110'
4,7,0.717791,0.991866,13,'11111111110010101000'
4,8,0.613878,0.995147,12,'11111111111000000010'
4,9,0.651196,0.996781,16,'11111111111010101110'
4,10,0.613622,0.999218,17,'11111111111110101110'
4,11,0.553014,0.992491,15,'11111111110011101010'
4,12,0.635174,0.992491,15,'11111111110011101010'
4,13,0.606623,0.992008,16,'11111111110010110111'
4,14,0.595265,0.925979,13,'11111110000010011111'
4,15,0.637289,0.916907,15,'11111101110010011111'
4,16,0.659207,0.916907,15,'11111101110010011111'
4,17,0.54038,0.917171,15,'11111101110010111101'
4,18,0.538124,0.917171,15,'11111101110010111101'
4,19,0.619633,0.991952,14,'11111111110010110001'
4,20,0.720683,0.992084,17,'11111111110010111111'
4,21,0.722179,0.992084,17,'11111111110010111111'
4,22,0.705453,0.99681,15,'11111111111010110001'
4,23,0.733245,0.99681,15,'11111111111010110001'
4,24,0.773445,0.991971,15,'11111111110010110011'
4,25,0.768357,0.953537,14,'11111110110010001111'
4,26,0.713122,0.953537,14,'11111110110010001111'
4,27,0.643073,0.992842,15,'11111111110100001111'
4,28,0.699676,0.97275,14,'11111111010010110011'
4,29,0.759763,0.992179,14,'11111111110011001001'
,,,,,
Simulation Parameters:,,,,,
Seed:,4147597284,,,,
Population Size:,30,,,,
Generations:,40,,,,
Number of Genes:,20,,,,
Mutation Probability:,0.033,,,,
Crossover Probability:,0.6,,,,
Run Number, Generation, Average Fitness, Best Fitness, Number of Correct Bits, Best Genetic String
